,Name,Salary1,Salary2,Salary3,Salary4,Salary5,Mean,Average Salary,Salary
0,Allan Hancock Joint,56628,58294,59460,60411,61619,59282,59282.4,59282
1,Antelope Valley,56126,56126,58394,59562,59562,57954,57954.0,57954
2,Barstow,54324,57397,59268,59268,59268,57905,57905.0,57905
3,Butte,54073,56777,58628,58628,63566,58334,58334.4,58334
4,Cabrillo,56151,57499,59000,59000,62138,58757,58757.6,58757
5,Cerritos,64818,67871,70084,70084,70084,68588,68588.2,68588
6,Chabot-Las Positas,62035,62035,65137,66440,67769,64683,64683.2,64683
7,Chaffey,59581,66000,68700,68700,71496,66895,66895.4,66895
8,Citrus,61547,63393,64661,64661,65954,64043,64043.2,64043
9,Coast,57335,59463,61997,61997,65141,61186,61186.6,61186
10,Compton,59503,59503,59503,60431,62880,60364,60364.0,60364
11,Contra Costa,59616,59616,63192,65088,65088,62520,62520.0,62520
12,Copper Mountain,50307,52068,52068,52068,53239,51950,51950.0,51950
13,Desert,64723,66477,68644,68644,72125,68122,68122.6,68122
14,El Camino,66598,68403,68403,68403,73328,69027,69027.0,69027
15,Feather River,54041,55949,58490,58490,62377,57869,57869.4,57869
16,Foothill-DeAnza,60121,60121,63728,63728,63728,62285,62285.2,62285
17,Gavilan,61170,62394,64109,64109,64109,63178,63178.2,63178
18,Glendale,61868,64033,65634,65634,68916,65217,65217.0,65217
19,Grossmont-Cuyamaca,51279,52817,54402,161852,163119,96693,96693.8,96693
20,Hartnell,55146,55973,58772,59947,60546,58076,58076.8,58076
21,Imperial,52802,56873,58727,59902,65892,58839,58839.2,58839
22,Kern,71210,73767,77278,77278,79596,75825,75825.8,75825
23,Lake Tahoe,54615,55079,54058,54869,55966,54917,54917.4,54917
24,Lassen,56328,58757,60672,60672,63748,60035,60035.4,60035
25,Long Beach,67275,68284,69547,71467,72539,69822,69822.4,69822
26,Los Angeles,58550,60130,62090,62090,65250,61622,61622.0,61622
27,Los Rios,49505,46660,50262,51229,53162,50163,50163.6,50163
28,Marin,59064,65616,65616,67800,72168,66052,66052.8,66052
29,Mendocino-Lake,56513,56513,59056,60237,61442,58752,58752.2,58752
30,Merced,50868,55018,55018,55018,55018,54188,54188.0,54188
31,Mira Costa,73482,76826,76826,78555,80912,77320,77320.2,77320
32,Monterey Peninsula,54118,54659,56299,56299,61792,56633,56633.4,56633
33,Mt. San Antonio,65837,67622,67622,69827,71441,68469,68469.8,68469
34,Mt. San Jacinto,53936,56094,57776,57776,60088,57134,57134.0,57134
35,Napa Valley,52131,52131,53174,53174,54769,53075,53075.8,53075
36,North Orange County,67137,67137,67137,70830,76421,69732,69732.4,69732
37,Ohlone,66970,68786,68786,71046,74649,70047,70047.4,70047
38,Palo Verde,54661,57018,59618,60393,64240,59186,59186.0,59186
39,Palomar,62005,63686,65762,65762,69096,65262,65262.2,65262
40,Pasadena Area,68804,72082,74245,74245,78009,73477,73477.0,73477
41,Peralta,41263,40793,42122,42122,44229,42105,42105.8,42105
42,Rancho Santiago,59559,62839,65353,67967,70685,65280,65280.6,65280
43,Redwoods,50266,51271,51271,51271,56817,52179,52179.2,52179
44,Rio Hondo,57679,59242,61766,62384,66171,61448,61448.4,61448
45,Riverside,61182,64097,68860,68860,72351,67070,67070.0,67070
46,San Bernardino,52447,57964,68843,68843,68843,63388,63388.0,63388
47,San Diego,57549,57836,58838,58838,60329,58678,58678.0,58678
48,San Francisco,58499,61200,63700,65900,65900,63039,63039.8,63039
49,San Joaquin Delta,57017,57017,59013,60783,63372,59440,59440.4,59440
50,San Jose/Evergreen,67236,73052,74878,74878,81767,74362,74362.2,74362
51,San Luis Obispo County,52056,55016,57057,57057,59665,56170,56170.2,56170
52,San Mateo County,68568,71328,71328,77964,78372,73512,73512.0,73512
53,Santa Barbara,58944,63071,63071,63071,63071,62245,62245.6,62245
54,Santa Clarita,59556,62160,64116,64116,67368,63463,63463.2,63463
55,Santa Monica,54900,55998,55998,58259,59133,56857,56857.6,56857
56,Sequoias,60840,64795,67387,68735,71484,66648,66648.2,66648
57,Shasta-Tehama-Trinity Joint,53710,53710,55590,55590,59203,55560,55560.6,55560
58,Sierra Joint,53206,53206,55334,55334,56994,54814,54814.8,54814
59,Siskiyou Joint,52865,52865,52865,54451,55268,53662,53662.8,53662
60,Solano County,49966,53699,53699,55109,57904,54075,54075.4,54075
61,Sonoma County,68869,66407,72924,73372,78113,71937,71937.0,71937
62,South Orange County,71768,73714,75814,78028,78612,75587,75587.2,75587
63,Southwestern,55178,57670,60127,60127,63776,59375,59375.6,59375
64,State Center,59477,59477,61261,61720,64849,61356,61356.8,61356
65,Ventura County,48751,48751,52711,52711,53766,51338,51338.0,51338
66,Victor Valley,52383,53955,55714,55714,55714,54696,54696.0,54696
67,West Hills,59064,60665,60665,60665,62203,60652,60652.4,60652
68,West Kern,54682,56163,57994,59340,61162,57868,57868.2,57868
69,West Valley-Mission,63860,67053,70406,73926,77622,70573,70573.4,70573
70,Yosemite,55384,61125,61125,61366,62910,60382,60382.0,60382
71,Yuba,54727,56772,56772,58623,61595,57697,57697.8,57697
