College,City,City Rent (yearly),Salary,Community College District,City's Rent-to-Income (%)
College of Alameda,Alameda,25272,42105,Peralta,60.0
Berkeley,Berkeley,22632,42105,Peralta,53.8
Diablo Valley College - Larger Campus,San Ramon,30684,62520,Contra Costa,49.1
Merritt College,Oakland,20112,42105,Peralta,47.8
Laney,Oakland,20112,42105,Peralta,47.8
Ohlone College - Campus,Fremont,31092,70047,Ohlone,44.4
Los Medanos College - Center,Brentwood,26976,62520,Contra Costa,43.1
Diablo Valley College - Smaller Campus,Pleasant Hill,26940,62520,Contra Costa,43.1
Las Positas College,Livermore,27756,64683,Chabot-Las Positas,42.9
Ohlone College - Center,Newark,29100,70047,Ohlone,41.5
Chabot College,Hayward,24852,64683,Chabot-Las Positas,38.4
Los Medanos College - Campus,Pittsburg,23796,62520,Contra Costa,38.1
Contra Costa College,San Pablo,20208,62520,Contra Costa,32.3
